city_name,lat,lon
Обнинск,55.0943144,36.6121639
Нижневартовск,60.9396698,76.5696184
Барнаул,53.3479968,83.7798064
Коммунар,59.6215133,30.3934125
СанктПетербург,59.9391313,30.3159004
Ярославль,57.6215477,39.8977411
Владикавказ,43.020588,44.6819182
Копейск,55.116665,61.6179185
Химки,55.888657,37.4303702
г Малоярославец,55.0177123,36.4633603
Тольятти,53.5205348,49.3894028
Волгоград,48.7070042,44.5170339
Екатеринбург,56.8385216,60.6054911
Солнечногорск,56.185102,36.977631
Одинцово,55.6789455,37.263686
Тамбов,52.7213154,41.452264
Звенигород,55.7297089,36.8554029
Благовещенск,50.290659,127.527198
Магнитогорск,53.4072153,58.9791437
Ижевск,56.852738,53.2114896
Смоленск,54.782635,32.045251
Аксайский район поселок Рассвет,47.3615784,39.8779607
Гатчина,59.565237,30.1282473
Нефтеюганск,61.0882676,72.6164079
Владивосток,43.1164904,131.8823937
Псков,57.8194415,28.3317198
Арсеньев,44.1622031,133.2696209
Елизово,53.1830375,158.3883548
Петрозаводск,61.7891264,34.3596434
Иркутск,52.2864036,104.2807466
Анапа,44.8950433,37.3163282
Петергоф,59.8804208,29.9065458
Артем,43.3501675,132.1596175
Королёв,55.9161773,37.8545415
ижевск,56.852738,53.2114896
Северодвинск,64.5625385,39.8180934
Владимир,56.1280804,40.4084376
Майкоп,44.6098268,40.1006606
Свободный,51.3614103,128.1219729
Новокузнецк,53.794315,87.2142745
Брянск,53.2419535,34.3652146
Красноярск,56.0093879,92.8524806
Самара,53.1950306,50.1069518
Воронеж,51.6593332,39.1969229
Ставрополь,45.044516,41.9689655
Видное,55.551725,37.7061984
Александровск-Сахалинский,50.8974378,142.1578559
Хабаровск,48.4647258,135.0598942
Жирновск,50.9768814,44.7858202
гп новоселье,59.809048,30.077554
Серов,59.6047724,60.5753882
Коломна,55.102814,38.7531002
Белгород,50.5976472,36.5856652
Липецк,52.610249,39.5947883
Раменское Кратово,55.5974289,38.1635151
Ростов-на-Дону,47.2224566,39.718803
Иваново,56.9993792,40.9728272
Сызрань,53.1558674,48.4744629
Саранск,54.1809332,45.1862632
Рязань,54.6254445,39.7358609
Ессентуки,44.0446186,42.8588653
Котельники,55.6597925,37.8631156
Краснотурьинск,59.7636635,60.1934525
Аксай,47.2676314,39.8756872
Сочи,43.5854551,39.7231548
Новосибирск,55.028191,82.9211489
Зеленогорск,60.1970645,29.7058671
Истра,55.9062267,36.8601454
Голицыно,55.6190582,36.9856793
Уфа,54.734944,55.9578468
Кирово-Чепецк,58.5559424,50.0316848
Каспийск,42.8916007,47.6367066
Южно-Сахалинск,46.9591631,142.737976
Зима,53.920693,102.0491772
поселок Старопышминск,56.9349233,60.8952824
Озерск,55.763154,60.7076198
Махачкала,42.9849159,47.5047181
Ликино-Дулёво,55.7078257,38.9578093
Тверь,56.8586059,35.9116761
Минераловодский район хутор Красный пахарь,44.2022717,43.0903866
Калининград,54.7074702,20.5073241
Долгопрудный,55.9385999,37.5101021
Пенза,53.1753314,45.0348625
Видное деревня Мисайлово ЖКПригород Лесное,55.556334,37.813073
Колпино,59.7466607,30.5953793
Мурманск,69.007721,33.0685865
